artist_id,dim0,dim1
Florence + the Machine_2016-03-13,4.632544,-6.975599
Maglore_2016-03-13,1.7809256,-6.078082
Walk the Moon_2016-03-13,1.9482532,-8.974985
Alabama Shakes_2016-03-13,1.5387514,-7.1753106
Jack Ü_2016-03-13,1.6425911,0.58739144
Versalle_2016-03-13,2.0508757,-6.5557637
Seed_2016-03-13,-0.06156039,-7.9637914
Albert Hammond Jr._2016-03-13,1.2526652,-9.051904
Odesza_2016-03-13,2.91714,0.33653435
Jungle_2016-03-13,2.6492817,0.10320127
Planet Hemp_2016-03-13,0.40028125,-0.7657743
Funky Fat_2016-03-13,5.010118,-1.3136148
Karol Conka_2016-03-13,0.6974683,-0.70391834
Jack Novak_2016-03-13,4.574165,0.5908209
Gramatik_2016-03-13,1.2498688,-1.1753728
Duke Dumont_2016-03-13,4.7923503,0.25202608
Zeds Dead_2016-03-13,2.8962586,0.18813443
Emicida_2016-03-13,0.66263545,-0.5522811
Zedd_2016-03-13,4.469427,0.53641385
Doctor Pheabes_2017-03-25,0.98643124,-7.161599
Suricato_2017-03-25,2.3467457,-6.0482264
Cage the Elephant_2017-03-25,1.0258875,-8.433373
Rancid_2017-03-25,-0.0013574074,-7.0905347
Metallica_2017-03-25,-0.11368701,-7.226324
The Outs_2017-03-25,1.4248834,-6.1756997
Glass Animals_2017-03-25,2.5452325,-8.589643
The 1975_2017-03-25,1.7724993,-8.690202
The xx_2017-03-25,4.9495797,-6.8118763
Jaloo_2017-03-25,2.5601475,-6.926224
BaianaSystem_2017-03-25,3.6849365,-0.8221019
Bob Moses_2017-03-25,5.232704,0.50602674
Tegan and Sara_2017-03-25,4.5969033,-6.8969574
Criolo_2017-03-25,0.50376755,-0.49376234
Tove Lo_2017-03-25,5.1430554,-7.535167
The Chainsmokers_2017-03-25,4.758353,0.842541
Ricci_2017-03-25,3.5751128,-7.8834424
Haikaiss_2017-03-25,0.5585386,-0.21113165
Victor Ruiz_2017-03-25,4.4600387,-1.4642997
Don Diablo_2017-03-25,4.4777513,0.33354577
Tchami_2017-03-25,5.4439387,0.25022095
Vintage Culture_2017-03-25,5.0748878,-1.0339648
Marshmello_2017-03-25,1.2307944,0.6940853
G-Eazy_2017-03-25,0.91902566,-1.1167241
Céu_2017-03-26,3.8127189,-7.000583
Jimmy Eat World_2017-03-26,-0.1795432,-8.10633
Two Door Cinema Club_2017-03-26,1.7198552,-9.098582
The Strokes_2017-03-26,0.3382787,-8.722161
Bratislava_2017-03-26,2.0700767,-6.185416
Catfish and the Bottlemen_2017-03-26,1.5549961,-8.703547
Duran Duran_2017-03-26,-0.36704037,-7.6838307
The Weeknd_2017-03-26,2.7002501,0.019881269
Kilotones_2017-03-26,2.933719,-3.703771
Daniel Groove_2017-03-26,2.1196568,-6.6658754
Vance Joy_2017-03-26,1.7967114,-9.03108
Silversun Pickups_2017-03-26,4.3525734,-6.758091
Mø_2017-03-26,5.050209,-7.5416975
Melanie Martinez_2017-03-26,4.931377,-7.4060535
Flume_2017-03-26,1.7623641,-0.9131297
Gabriel Boni_2017-03-26,3.774406,-0.797371
Illusionize_2017-03-26,5.0147767,-1.31812
Chemical Surf_2017-03-26,4.8221645,-1.5830244
Borgore_2017-03-26,2.9341893,0.26043677
Griz_2017-03-26,1.8236008,-0.8181711
Oliver Heldens_2017-03-26,5.404776,0.16772403
Nervo_2017-03-26,4.7524395,-0.07912966
Martin Garrix_2017-03-26,4.949893,0.64265275
Agridoce_2013-03-29,3.724523,-6.78769
The Temper Trap_2013-03-29,1.6544951,-8.745971
The Flaming Lips_2013-03-29,-0.08094585,-8.429029
The Killers_2013-03-29,0.98589337,-8.5372925
Bruno Barudi_2013-03-29,4.1685524,-1.3410568
Boss in Drama_2013-03-29,3.8170846,-1.715889
Dirtyloud_2013-03-29,4.225573,-1.3279115
Feed Me_2013-03-29,4.0897017,0.5857396
Porter Robinson_2013-03-29,4.4157186,0.65285856
Red Bull Technostalgia feat DJ Marky feat BiD_2013-03-29,2.3302453,-4.9210587
Knife Party_2013-03-29,4.265525,0.45565537
Holger_2013-03-29,2.4766257,-6.602876
Of Monsters and Men_2013-03-29,4.7717514,-6.9440126
Cake_2013-03-29,-0.008884176,-8.246827
Deadmau5_2013-03-29,4.9987397,0.33186322
Tokyo Savannah_2013-03-29,1.9227399,-6.540018
Copacabana Club_2013-03-29,3.8716218,-6.5349174
Crystal Castles_2013-03-29,3.6185453,-0.20518908
Passion Pit_2013-03-29,2.7261698,-8.51222
Stop Play Moon_2013-03-30,3.8146565,-6.5383754
Toro y Moi_2013-03-30,2.7599027,-0.06665971
Two Door Cinema Club_2013-03-30,1.8561805,-8.8218
Queens of the Stone Age_2013-03-30,0.17714049,-7.809388
The Black Keys_2013-03-30,1.0284634,-8.130084
William Naraine_2013-03-30,4.082737,0.36903015
Zeds Dead_2013-03-30,2.838734,0.33539906
Nas_2013-03-30,0.9908684,-0.9416425
Madeon_2013-03-30,4.5618644,0.5578582
Steve Aoki_2013-03-30,3.8106668,0.39084178
Tomahawk_2013-03-30,0.009113448,-7.929713
Franz Ferdinand_2013-03-30,1.2390504,-8.878412
A Perfect Circle_2013-03-30,0.27887207,-7.888428
Ludov_2013-03-30,3.551186,-6.4847426
"Gary Clark, Jr._2013-03-30",0.9092204,-7.177793
Alabama Shakes_2013-03-30,1.5343368,-7.15284
Criolo_2013-03-30,0.6879902,-0.5123611
Baia_2013-03-31,0.7116722,-6.0751987
Lirinha feat Eddie_2013-03-31,2.1009784,-5.6030593
Puscifer_2013-03-31,0.38830322,-7.8680496
The Hives_2013-03-31,0.88937145,-8.378715
Pearl Jam_2013-03-31,-0.28927815,-7.8100634
Wehbba_2013-03-31,4.032164,-1.2241999
Database_2013-03-31,4.8713613,-1.5556369
Mix Hel_2013-03-31,2.9421184,-3.7156935
Gui Boratto_2013-03-31,4.341441,-1.4318326
Rusko_2013-03-31,2.9634404,0.25025448
Major Lazer_2013-03-31,2.8031218,0.30391747
Kaskade_2013-03-31,4.8215857,-0.1313551
Vivendo do Ócio_2013-03-31,2.1740646,-6.2246504
Foals_2013-03-31,1.4712462,-9.087024
Kaiser Chiefs_2013-03-31,1.2450905,-8.897497
Planet Hemp_2013-03-31,0.51073736,-0.5935641
Wannabe Jalva_2013-03-31,2.192165,-6.19833
República_2013-03-31,2.6531327,-4.0013514
Vanguart_2013-03-31,2.2741692,-6.032268
Hot Chip_2013-03-31,2.8538291,-0.29165325
Ritmo Machine_2012-04-07,1.5465574,-0.9820911
Marcelo Nova_2012-04-07,0.26587242,-6.470775
O Rappa_2012-04-07,0.54785424,-6.2847543
TV On The Radio_2012-04-07,1.1579386,-8.922104
Foo Fighters_2012-04-07,-0.11004146,-8.046952
Wander Wildner_2012-04-07,0.5157626,-6.264162
Cage The Elephant_2012-04-07,1.4213624,-8.373249
Band of Horses_2012-04-07,1.4675792,-8.466921
Joan Jett_2012-04-07,-0.11885001,-7.1897464
Daniel Belleza e os Corações em Fúria_2012-04-07,1.5079268,-6.3228054
Tipo Uísque_2012-04-07,3.7263758,-6.6036963
